temperature_C,wavelength_nm,absorption_cm2,archived_emission_reconstruction_cm2,mccumber_emission_cm2,fluorescence_photon_probability_per_nm,energy_equivalent_fluorescence_wavelength_nm
140.0,1021.0,4.0654331714686596e-22,5.944639696966387e-21,2.326827859733784e-21,0.006322060687799955,1000.9603125472845
140.0,1021.5,4.686246761473911e-22,6.3791571072849954e-21,2.727301896531026e-21,0.007395662847117994,1000.9603125472845
140.0,1022.0,5.404178342807243e-22,6.862729801440336e-21,3.198020710036647e-21,0.008655159237157829,1000.9603125472845
140.0,1022.5,6.21966109476893e-22,7.39382499113913e-21,3.742439376021334e-21,0.010108783164505607,1000.9603125472845
140.0,1023.0,7.129761716968997e-22,7.969354481574938e-21,4.3620681724661234e-21,0.011759457518677692,1000.9603125472845
140.0,1023.5,8.127662936573397e-22,8.584561176432016e-21,5.0559810134276364e-21,0.013603523779984587,1000.9603125472845
140.0,1024.0,9.202290408650275e-22,9.232974649239124e-21,5.82037475205924e-21,0.015629622738574628,1000.9603125472845
140.0,1024.5,1.0338132982101325e-21,9.906429722621566e-21,6.6482194816146834e-21,0.01781783247864513,1000.9603125472845
140.0,1025.0,1.1515311362114977e-21,1.0595165019116365e-20,7.529048732621046e-21,0.020139190980279862,1000.9603125472845
140.0,1025.5,1.2709911829883745e-21,1.128800229134412e-20,8.448918620661023e-21,0.022555675709592986,1000.9603125472845
140.0,1026.0,1.3894607738779788e-21,1.1972603300363286e-20,9.390571729968932e-21,0.025020729343369876,1000.9603125472845
140.0,1026.5,1.5039570301601664e-21,1.2635809088968314e-20,1.0333830286340444e-20,0.02748038948149888,1000.9603125472845
140.0,1027.0,1.611360959898761e-21,1.3264032569363167e-20,1.1256202449653106e-20,0.029874971173345956,1000.9603125472845
140.0,1027.5,1.7085516526478655e-21,1.3843707656384542e-20,1.2133702749274218e-20,0.03214129737537566,1000.9603125472845
140.0,1028.0,1.792551076448737e-21,1.4361763442325688e-20,1.2941838831107045e-20,0.034215343328689404,1000.9603125472845
140.0,1028.5,1.8606708943105775e-21,1.4806106449695848e-20,1.3656715452454108e-20,0.03603515963235637,1000.9603125472845
140.0,1029.0,1.9106519095750304e-21,1.5166085112521268e-20,1.4256193027198907e-20,0.037543904951841074,1000.9603125472845
140.0,1029.5,1.94078402326087e-21,1.5432907405619306e-20,1.4721008382843435e-20,0.038692743996505234,1000.9603125472845
140.0,1030.0,1.949999938117769e-21,1.5599999504942152e-20,1.503579431511562e-20,0.039443446061136866,1000.9603125472845
140.0,1030.5,1.9379343295050753e-21,1.5663273975041057e-20,1.518991491088308e-20,0.03977047063582545,1000.9603125472845
140.0,1031.0,1.904943838282596e-21,1.5621296174541124e-20,1.517805273825343e-20,0.03966237990703097,1000.9603125472845
140.0,1031.5,1.8520872798682064e-21,1.5475345648452398e-20,1.5000510048167986e-20,0.039122488424000235,1000.9603125472845
140.0,1032.0,1.7810654636171107e-21,1.5229359582620173e-20,1.4663183359530714e-20,0.038168654431210355,1000.9603125472845
140.0,1032.5,1.6941287004584308e-21,1.488976639825021e-20,1.4177240558306206e-20,0.036832300137632036,1000.9603125472845
140.0,1033.0,1.5939547250923976e-21,1.4465214333270235e-20,1.355849063185746e-20,0.035156645760999604,1000.9603125472845
140.0,1033.5,1.4835111691355797e-21,1.3966224091096156e-20,1.2826535852679051e-20,0.03319440048038515,1000.9603125472845
